bhk,rent,size,bathroom,log_rent,log_size,floor_number,total_floors,is_ground_floor,is_top_floor,floor_ratio,furnishing_encoded,area type_Super Area,city_Chennai,city_Delhi,city_Hyderabad,city_Kolkata,city_Mumbai,tenant preferred_Bachelors/Family,tenant preferred_Family,point of contact_Contact Owner
2,10000,1100,2,9.210440366976517,7.00397413672268,0.0,2.0,1,0,0.0,0,True,False,False,False,True,False,True,False,True
2,20000,800,1,9.90353755128617,6.68586094706836,1.0,3.0,0,0,0.333,1,True,False,False,False,True,False,True,False,True
2,17000,1000,1,9.741027444837728,6.90875477931522,1.0,3.0,0,0,0.333,1,True,False,False,False,True,False,True,False,True
2,10000,800,1,9.210440366976517,6.68586094706836,1.0,2.0,0,0,0.5,0,True,False,False,False,True,False,True,False,True
2,7500,850,1,8.922791623969637,6.7464121285733745,1.0,2.0,0,0,0.5,0,False,False,False,False,True,False,False,False,True
2,7000,600,2,8.853808274977197,6.398594934535208,0.0,1.0,1,0,0.0,0,True,False,False,False,True,False,True,False,True
2,10000,700,2,9.210440366976517,6.55250788703459,0.0,4.0,1,0,0.0,0,True,False,False,False,True,False,False,False,False
1,5000,250,1,8.517393171418904,5.5254529391317835,1.0,2.0,0,0,0.5,0,True,False,False,False,True,False,False,False,False
2,26000,800,2,10.165890277802454,6.68586094706836,1.0,2.0,0,0,0.5,0,False,False,False,False,True,False,False,False,False
2,10000,1000,2,9.210440366976517,6.90875477931522,1.0,3.0,0,0,0.333,1,False,False,False,False,True,False,True,False,True
3,25000,1200,2,10.12667110305036,7.0909098220799835,1.0,4.0,0,0,0.25,1,False,False,False,False,True,False,True,False,False
1,5000,400,1,8.517393171418904,5.993961427306569,1.0,1.0,0,1,1.0,0,False,False,False,False,True,False,True,False,False
1,6500,250,1,8.77971129020447,5.5254529391317835,1.0,4.0,0,0,0.25,2,False,False,False,False,True,False,False,False,True
1,5500,375,1,8.612685172875459,5.929589143389895,1.0,2.0,0,0,0.5,0,False,False,False,False,True,False,True,False,False
3,8500,900,2,9.04793908261736,6.803505257608338,0.0,2.0,1,0,0.0,0,False,False,False,False,True,False,False,False,True
3,40000,1286,2,10.596659732783579,7.160069207596127,1.0,1.0,0,1,1.0,2,False,False,False,False,True,False,True,False,True
